id;title;channel;minutes;views;kind;url
Z96cRf1DCr4;Дешёвая молодежь, Василий Якеменко, Селигер, Наши, Клаус Шваб и интернет, Сергей Ступников;Горбатинская Правда;19;196;интервью;https://www.youtube.com/watch?v=Z96cRf1DCr4
GMpS8TJM778;Интервью Якеменко, статьи Дугина и Суркова — что они говорят о России и о войне (Eng sub)  @Max_Katz;Максим Кац;14;674755;интервью;https://www.youtube.com/watch?v=GMpS8TJM778
MEdFguXHCHc;Интервью с Василием Якеменко;КиноКлуб  Василий Якеменко ;96;35375;интервью;https://www.youtube.com/watch?v=MEdFguXHCHc
Mzrs-8xqTTs;Исповедь метафизика-рогоносца;Remi Meisner;206;103938;интервью;https://www.youtube.com/watch?v=Mzrs-8xqTTs
fmVj4xbK798;Как перестать быть экономической машиной — Якеменко;Денис Царюк;82;89131;интервью;https://www.youtube.com/watch?v=fmVj4xbK798
k5FRFH_CTms;Кто УПРАВЛЯЕТ Вами? О «Человечности» Путина и Сознании. Есть ли будущее у РОССИИ?  Василий Якеменко;Не стой на месте;69;111746;интервью;https://www.youtube.com/watch?v=k5FRFH_CTms
GP8VuU4imVg;Кто станет богатым в 2026 Василий Якеменко ;СДЕЛКА;67;27823;интервью;https://www.youtube.com/watch?v=GP8VuU4imVg
nWD-YKp5Txs;Лидерство. Цели и задачи Селигера 2010 | Василий Якеменко | Лекториум;Лекториум;35;5659;интервью;https://www.youtube.com/watch?v=nWD-YKp5Txs
hiarSMA7OIY;Личная эффективность — это ловушка | Якеменко по понедельникам;Денис Царюк;12;11592;интервью;https://www.youtube.com/watch?v=hiarSMA7OIY
sY14gBSJNuE;НАЗАД В БУДУЩЕЕ | Василий Якеменко и Мария Соболева | БОЛЬШОЙ РАЗГОВОР #ШВК | 08.10.2024;Читаем себя;123;12994;интервью;https://www.youtube.com/watch?v=sY14gBSJNuE
ENeFRA5XjDs;О деньгах. Разговор о бедности и богатстве. Мышление богатого и бедного человека. Василий Якеменко;Философия денег;73;472;интервью;https://www.youtube.com/watch?v=ENeFRA5XjDs
GtOUy737xkI;О проекте;;1;214;интервью;https://www.youtube.com/watch?v=GtOUy737xkI
b_EsvXUjG8o;Об образе будущего | Василий Якеменко | Лекториум;Лекториум;70;4194;интервью;https://www.youtube.com/watch?v=b_EsvXUjG8o
JZf3pSHbL0s;Обратная связь от Участников КиноКлуба;;2;735;интервью;https://www.youtube.com/watch?v=JZf3pSHbL0s
QGbmFB7Rzoo;Онлайн-встреча с Валентиной Мериновой по смыслам фильма «Оппенгеймер»;;52;721;интервью;https://www.youtube.com/watch?v=QGbmFB7Rzoo
jDmEmZCH8DQ;Откровения экс-министра: путь во власть, «крыша» и как вывести 10000 на площадь | Якеменко Василий;Гладкий Я - Подкаст Губина Максима;131;53038;интервью;https://www.youtube.com/watch?v=jDmEmZCH8DQ
dI2L7MW8_bs;Откровенно про бизнес и не только! Василий Якеменко / Алиса про business;Алиса про business;31;8875;интервью;https://www.youtube.com/watch?v=dI2L7MW8_bs
fSLSpXvE1y0;Откровенное интервью создателя «Наших». О деньгах и взглядах элит;Meduza;2;56000;интервью;https://www.youtube.com/watch?v=fSLSpXvE1y0
pTvC2JoSTuA;Продолжение разговора о Богатстве и Бедности. Экс-министр РФ Василий Якеменко.;Александр Воловик | Быть плохим;43;34981;интервью;https://www.youtube.com/watch?v=pTvC2JoSTuA
Cekm5QAoLIY;Разговор на материале многосерийного фильма «ЧЕРНОБЫЛЬ» | Василий Якеменко | 25 июля 2025;Читаем себя;86;8331;интервью;https://www.youtube.com/watch?v=Cekm5QAoLIY
IMeeGxVv7Eg;СОБЕСЕДОВАНИЕ С САМИМ СОБОЙ;Читаем себя;47;8900;интервью;https://www.youtube.com/watch?v=IMeeGxVv7Eg
EMsXdApCisg;Секс со старухой как феномен.  Василий Якеменко;КиноКлуб  Василий Якеменко ;48;14000;интервью;https://www.youtube.com/watch?v=EMsXdApCisg
7Rvavje6iW0;Секс-работницы из Кремля. Как экс-министр поставлял девушек для элиты;Популярная политика;13;639977;интервью;https://www.youtube.com/watch?v=7Rvavje6iW0
3ecpFhDmvB4;ФОРМА — то, что делает тебя человеком | Якеменко по понедельникам;Разговор О... and Денис Царюк;15;8999;интервью;https://www.youtube.com/watch?v=3ecpFhDmvB4
6Iubh2mijAw;Чернуха! Якименко натравливает Наших на оппозицию;Nepotrebnadzor;15;1685;интервью;https://www.youtube.com/watch?v=6Iubh2mijAw
lnClPICGrV0;Что такое КиноКлуб?;;1;374;интервью;https://www.youtube.com/watch?v=lnClPICGrV0
pbwSL2mwOY8;Что такое КиноКлуб?;;1;357;интервью;https://www.youtube.com/watch?v=pbwSL2mwOY8
N_Oo4hoHQ8Y;ШКОЛА ВЕЛИКИХ КНИГ. НАЧАЛО | ВАСИЛИЙ ЯКЕМЕНКО;Читаем себя;71;14070;интервью;https://www.youtube.com/watch?v=N_Oo4hoHQ8Y
pAQisPgCOdk;Экс-министр Якеменко: почему ты бедный и как стать богатым;Денис Царюк;81;72698;интервью;https://www.youtube.com/watch?v=pAQisPgCOdk
5nxwuQafa6E;Экс-министр: Единственная причина зачем быть в отношениях в 2025 году;АНЖЕЛИА;61;177503;интервью;https://www.youtube.com/watch?v=5nxwuQafa6E
XAANhlSUDuA;Якеменко на Дожде, как уж на сковородке.;Noxchyn;59;41726;интервью;https://www.youtube.com/watch?v=XAANhlSUDuA
zjFlsuIUP4U;Якеменко: Почему 99% людей не могут думать;Денис Царюк;66;32192;интервью;https://www.youtube.com/watch?v=zjFlsuIUP4U
LaTLZrAI8Og;Якеменко: единственный способ найти гармонию в жизни;Денис Царюк;68;23971;интервью;https://www.youtube.com/watch?v=LaTLZrAI8Og
GY_Pq_mOyJ4;Якеменко: причина что-либо делать — это причина этого не делать;Разговор О... and Денис Царюк;67;22393;интервью;https://www.youtube.com/watch?v=GY_Pq_mOyJ4
uprT29i_8oo;— Вась, давай поговорим еще про формат, палатки, лагерь.. О чем это по смыслу?) Подробности 👇;;5;214;интервью;https://www.youtube.com/watch?v=uprT29i_8oo
JbDgBB29msU;09.11 Бизнес-завтрак с Василием Якеменко;Бизнес-клуб DP;3;347;короткое;https://www.youtube.com/watch?v=JbDgBB29msU
WA4TM9m8nBc;«ЖТВ» / «Машук 2010»: Василий Якеменко на Машуке (Выпуск 7);Андрей Жариков;4;672;короткое;https://www.youtube.com/watch?v=WA4TM9m8nBc
KsbmkT_F99E;Адвокат Кашина: Якименко не прав;Телеканал Дождь;1;213;короткое;https://www.youtube.com/watch?v=KsbmkT_F99E
LYygyokAtBo;Акция «Наша победа»: Борис Якеменко;Андрей Жариков;3;678;Борис Якеменко;https://www.youtube.com/watch?v=LYygyokAtBo
VDQgueEgoMQ;Атаку на «Коммерсантъ» заказали «Наши». Доказано;Телеканал Дождь;5;364;короткое;https://www.youtube.com/watch?v=VDQgueEgoMQ
rEzE5oGsIRo;"Василий Якеменко в ""Позднем разговоре"" ч.1";fnebvideo;9;2707;короткое;https://www.youtube.com/watch?v=rEzE5oGsIRo
txFVTn9HIOk;"Василий Якеменко в ""Позднем разговоре"" ч.3";fnebvideo;10;1998;короткое;https://www.youtube.com/watch?v=txFVTn9HIOk
YfHmi9pStWQ;"Василий Якеменко в ""Позднем разговоре"" ч.4";fnebvideo;9;1580;короткое;https://www.youtube.com/watch?v=YfHmi9pStWQ
QdMF5ubk0J8;"Василий Якеменко надувает ""Партию власти""";Firstnews Ru;4;406;короткое;https://www.youtube.com/watch?v=QdMF5ubk0J8
H70nNMdErMM;Василий Якеменко о Медведеве и Путине и о ВУЗах;Николай Серов;6;5600;короткое;https://www.youtube.com/watch?v=H70nNMdErMM
qUjbkC5OFE4;Василий Якеменко о Путине;Levnik;2;9902;короткое;https://www.youtube.com/watch?v=qUjbkC5OFE4
MhT41uZ_Oog;Василий Якеменко покинул пост руководителя Федерального агентства по делам молодежи, а Владислав Сур;станислав стасов;1;332;короткое;https://www.youtube.com/watch?v=MhT41uZ_Oog
weSUCwyRfgY;Вася Якеменко, Селигер - разговор по понятиям;Ekatherina N+;5;19418;короткое;https://www.youtube.com/watch?v=weSUCwyRfgY
_pJaYJmXP2Y;Видеоотчет «Безумный Мир». БОЛЬШОЙ РАЗГОВОР #ШВК  Василий Якеменко. 26.11.2018;Большой Разговор;3;1576;короткое;https://www.youtube.com/watch?v=_pJaYJmXP2Y
W2fD2fXZg1M;"Еженедельный обзор ""Рассерженных Горожан"" \ Откровения Васи Якеменко";Рассерженные Горожане;2;379842;короткое;https://www.youtube.com/watch?v=W2fD2fXZg1M
vRpSu2iJhxU;Министр раскололся. Что рассказал чиновник Амирану Сардарову;Популярная политика;15;54949;разбор/реакция;https://www.youtube.com/watch?v=vRpSu2iJhxU
rg8LyrN5zD8;Настоящий Якеменко о Настоящем Путине!;Митинги Протесты;4;949;короткое;https://www.youtube.com/watch?v=rg8LyrN5zD8
WsHrRjwckyY;Номинация «Духовность» — Борис Якеменко;Фестиваль Кино;3;434;Борис Якеменко;https://www.youtube.com/watch?v=WsHrRjwckyY
ttfc-6H1Wf0;О кредитной системе;Борис Якеменко;4;513;короткое;https://www.youtube.com/watch?v=ttfc-6H1Wf0
j8mFCWr6v5M;О растущем недоверии к власти;Борис Якеменко;2;211;короткое;https://www.youtube.com/watch?v=j8mFCWr6v5M
1HVWrHzrm-Y;После прочтения сжечь. Обсуждения смысла фильма с Василием Якеменко;;2;3100;короткое;https://www.youtube.com/watch?v=1HVWrHzrm-Y
C6hxHR4D3i0;Почему нельзя говорить ПРАВДУ — Якеменко по понедельникам;Денис Царюк // Размышления;7;12453;короткое;https://www.youtube.com/watch?v=C6hxHR4D3i0
8C2xXnqZG6U;"Презентация учебника Бориса Якеменко ""Практическая миссиология""";Борис Якеменко;8;289;Борис Якеменко;https://www.youtube.com/watch?v=8C2xXnqZG6U
0QpqaRTiX9s;Пресс-конференция В. Якеменко;popenglish;4;1798;короткое;https://www.youtube.com/watch?v=0QpqaRTiX9s
VmcazvdJWac;Реальные причины СВО. Распил бюджета. Тайна Навального. Скандальное интервью брата. Борис Якеменко;Станислав Роженьков;107;11066;Борис Якеменко;https://www.youtube.com/watch?v=VmcazvdJWac
gJiqQRA0Kk4;Русская Пробежка - реклама от Василия Якеменко;leotube4120;1;610;короткое;https://www.youtube.com/watch?v=gJiqQRA0Kk4
KKaQboomJwA;Срок/The Term. Эпизод 51. Якеменко - Путин.;Srok Documentary;4;114886;короткое;https://www.youtube.com/watch?v=KKaQboomJwA
sZeFUsK79yQ;Срок/The Term. Эпизод 700. Якеменко, Собчак и немецкое порно.;Srok Documentary;5;107111;короткое;https://www.youtube.com/watch?v=sZeFUsK79yQ
-WGDbrhO1L0;Таинственное появление Василия Якеменко на Пермском;Телеканал Дождь;6;3318;короткое;https://www.youtube.com/watch?v=-WGDbrhO1L0
xnxRxNK62EU;Форум Якеменко на Селигере - сюжет Рен-ТВ;Pavel Elizarov;4;14254;короткое;https://www.youtube.com/watch?v=xnxRxNK62EU
VSzsSMfLhqM;"Фрагмент разбора фильма ""Ворошиловский стрелок"" Василий Якеменко";;6;3900;короткое;https://www.youtube.com/watch?v=VSzsSMfLhqM
8dhvimsvD98;ЧТО ТАКОЕ ЗЛО ЯКЕМЕНКО;Люберецкий Вася;3;24;короткое;https://www.youtube.com/watch?v=8dhvimsvD98
qhyyyMHbL8o;Янукович, Якименко и Лебедев выдают России секретную...;Подробиці;0;291;короткое;https://www.youtube.com/watch?v=qhyyyMHbL8o
dPF9Y0WZ-3g;Ярослав Нилов о Якеменко Сеня Кайнов Seny Kaynov #SENYKAY;ЯтакДУМАЮ VIPCOMMENTS;1;116;короткое;https://www.youtube.com/watch?v=dPF9Y0WZ-3g
O6dZ2q0-Po0;якименко без прикрас;wwwMSKRUwww;5;1866;короткое;https://www.youtube.com/watch?v=O6dZ2q0-Po0
